Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,896
design__instance__area,9492.94
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__die__bbox,0.0 0.0 215.04 53.76
design__core__bbox,2.88 3.78 212.16 49.14
design__io,213
design__die__area,11560.6
design__core__area,9492.94
design__instance__count__stdcell,213
design__instance__area__stdcell,1542.24
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.162462
design__instance__utilization__stdcell,0.162462
design__rows,12
design__rows:CoreSite,12
design__sites,5232
design__sites:CoreSite,5232
design__instance__count__class:buffer,105
design__instance__area__class:buffer,762.048
design__instance__count__class:multi_input_combinational_cell,1
design__instance__area__class:multi_input_combinational_cell,7.2576
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,13906
design__violations,0
design__instance__count__class:clock_buffer,1
design__instance__area__class:clock_buffer,7.2576
design__instance__count__class:timing_repair_buffer,104
design__instance__area__class:timing_repair_buffer,754.79
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,1261
global_route__wirelength,16172
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,10.8864
route__net,316
route__net__special,2
route__drc_errors__iter:0,116
route__wirelength__iter:0,14356
route__drc_errors__iter:1,6
route__wirelength__iter:1,14279
route__drc_errors__iter:2,1
route__wirelength__iter:2,14269
route__drc_errors__iter:3,0
route__wirelength__iter:3,14274
route__drc_errors,0
route__wirelength,14274
route__vias,1058
route__vias__singlecut,1058
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,205.055
design__instance__count__class:fill_cell,683
design__instance__area__class:fill_cell,7950.7
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19994
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19998
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000064802
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000370345
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000105764
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.0000370345
design_powergrid__voltage__worst,0.0000370345
design_powergrid__voltage__worst__net:VPWR,1.19994
design_powergrid__drop__worst,0.000064802
design_powergrid__drop__worst__net:VPWR,0.000064802
design_powergrid__voltage__worst__net:VGND,0.0000370345
design_powergrid__drop__worst__net:VGND,0.0000370345
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00001550000000000000067502427258947506061304011382162570953369140625
ir__drop__worst,0.0000648000000000000029969082770975319363060407340526580810546875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
